,Unnamed: 0,img_path,tagName,originalImage,left,top,width,height,Rleft,Rtop,Rwidth,Rheight
0,0,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-699596b44cd8411fa009d801fc49b7ed?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=X1%2B8KJk8frrVOJqo9BAlydsj%2F5r5xPXXJsurUcUdmKw%3D,472,294,51,47,0.52796423,0.4093533,0.05704698,0.06527778
1,1,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-699596b44cd8411fa009d801fc49b7ed?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=X1%2B8KJk8frrVOJqo9BAlydsj%2F5r5xPXXJsurUcUdmKw%3D,426,250,78,39,0.47651008,0.3482422,0.087248325,0.054166667
2,2,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-f82370c2c6d4451dbb5a323934e9aa5b?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=qfJ3znHjjDWYapjkSPmy56OPy5vnm%2FpGJ57ONu39opc%3D,518,311,34,32,0.57941836,0.4329644,0.039149888,0.044444446
3,3,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-3de8745dfeea46299466b5043328df7d?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=b3kDnnpzeIemZjnnbs3T6GQ500Ye1yKSEVUceP24LoY%3D,518,314,40,24,0.5805369,0.43713108,0.045861295999999996,0.033333335
4,4,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-3b748806e8db45e990a8aa364a2c581e?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=aPeVauUTAZl9afNMHBitocbuaNjPrMCjP5a9eZQJz6k%3D,499,223,51,62,0.5592841,0.3107422,0.058165547000000005,0.0875
5,5,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-b1a17f5bb7754abab2ec987a17177838?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=Pt5TV7UvKNPpvU1lAvDDETsr6fMdI7igwr7lgWf1hUs%3D,364,438,87,40,0.4082774,0.6093533,0.09731544,0.055555556
6,6,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-e160eb08a11e4f099092afb694d95705?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=%2Fwi3vqzJt6dgw33ETTJXYsKQLictlHAHodgvXtcHMKo%3D,505,291,48,61,0.5653630999999999,0.40518662,0.054748602,0.08611111
7,7,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-46f47a3ef8f64d2badbc486785d53685?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=BWtJaJArQYyBupNnX4tso3V0FJqWhNOLUMOkAXcTKzA%3D,381,419,42,38,0.4261745,0.5829644,0.048098434,0.05277778
8,8,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-16204f96212a44e89f9a014a19c79562?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=ZAAvIL%2BCvw%2FL5euWyMsMMt8p1vZAKCB4hOs6to1AQes%3D,389,409,48,42,0.43512306,0.5690755,0.054809842000000004,0.059722222
9,9,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-e9595d063cd94a43b54029403cb0cb5d?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=KSvEHv3dVByLiPXjtz17LxasT5kKhTCPfg7gEkM%2FgFM%3D,574,423,30,56,0.6424581,0.5885199999999999,0.03463687,0.07777778
