,img_path,tagName,originalImage,left,top,width,height,Rleft,Rtop,Rwidth,Rheight
0,,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-699596b44cd8411fa009d801fc49b7ed?sv=2019-12-12&se=2021-06-08T04%3A33%3A16Z&sr=b&sp=r&sig=eFsPXOTdcvQc7TNfTE6Ithk4BUX%2BJR%2BeJrVawTy11l0%3D,472,294,51,47,0.52796423,0.4093533,0.05704698,0.06527778
1,,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-699596b44cd8411fa009d801fc49b7ed?sv=2019-12-12&se=2021-06-08T04%3A33%3A16Z&sr=b&sp=r&sig=eFsPXOTdcvQc7TNfTE6Ithk4BUX%2BJR%2BeJrVawTy11l0%3D,426,250,78,39,0.47651008,0.3482422,0.087248325,0.054166667
2,,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-f82370c2c6d4451dbb5a323934e9aa5b?sv=2019-12-12&se=2021-06-08T04%3A33%3A16Z&sr=b&sp=r&sig=sULtwGeDi%2Bm1pfA22ZRw83MfkeyKXD7VG5ZxVMhHO%2Bo%3D,518,311,34,32,0.57941836,0.4329644,0.039149888,0.044444446
3,,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-3de8745dfeea46299466b5043328df7d?sv=2019-12-12&se=2021-06-08T04%3A33%3A16Z&sr=b&sp=r&sig=QOhaejwzLRhalK8ft3MplliXb0mACQwANjNFCJ1LCKQ%3D,518,314,40,24,0.5805369,0.43713108,0.045861296,0.033333335
4,,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-3b748806e8db45e990a8aa364a2c581e?sv=2019-12-12&se=2021-06-08T04%3A33%3A16Z&sr=b&sp=r&sig=LtWpxtsktKFABgCVA0qBN6LUgLANRMkyjhICkVPIVPQ%3D,499,223,51,62,0.5592841,0.3107422,0.058165547,0.0875
5,,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-b1a17f5bb7754abab2ec987a17177838?sv=2019-12-12&se=2021-06-08T04%3A33%3A16Z&sr=b&sp=r&sig=N7rpfrdzFW5YUHSJgJfdVg9S7m5QsSdWN%2FIeq2m%2BLw0%3D,364,438,87,40,0.4082774,0.6093533,0.09731544,0.055555556
6,,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-e160eb08a11e4f099092afb694d95705?sv=2019-12-12&se=2021-06-08T04%3A33%3A16Z&sr=b&sp=r&sig=hxCCGjjVEPIQAaia09IAiPOt7STsQIHChVcDjZrNL2Q%3D,505,291,48,61,0.5653631,0.40518662,0.054748602,0.08611111
7,,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-46f47a3ef8f64d2badbc486785d53685?sv=2019-12-12&se=2021-06-08T04%3A33%3A16Z&sr=b&sp=r&sig=8X6S4ToDHEc5SjWlcRUwBsFGc3S%2Bp2yOkcwbzbbVPQ8%3D,381,419,42,38,0.4261745,0.5829644,0.048098434,0.05277778
8,,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-16204f96212a44e89f9a014a19c79562?sv=2019-12-12&se=2021-06-08T04%3A33%3A16Z&sr=b&sp=r&sig=yeMDPDt1YNfqNjlITVbcNE%2Bv4a4cFmlLO77r6dP6FSc%3D,389,409,48,42,0.43512306,0.5690755,0.054809842,0.059722222
9,,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-e9595d063cd94a43b54029403cb0cb5d?sv=2019-12-12&se=2021-06-08T04%3A33%3A16Z&sr=b&sp=r&sig=LXdGsRgO8W6JWHNraeTosIF8LKyv3zfu%2FPaTk4KQlr0%3D,574,423,30,56,0.6424581,0.58852,0.03463687,0.07777778
10,,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-e9595d063cd94a43b54029403cb0cb5d?sv=2019-12-12&se=2021-06-08T04%3A33%3A16Z&sr=b&sp=r&sig=LXdGsRgO8W6JWHNraeTosIF8LKyv3zfu%2FPaTk4KQlr0%3D,529,467,43,28,0.5910615,0.6496311,0.048044693,0.03888889
11,,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-9b5f8f0a157f4af1a81f53b32c9d0d06?sv=2019-12-12&se=2021-06-08T04%3A33%3A16Z&sr=b&sp=r&sig=B8g6WebferQd5fI7TrBxrXHeIQFYbmEpo5H3xvpupCc%3D,565,432,37,36,0.6331096,0.60102,0.042505592,0.05
12,,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-ea1f9a637fff4ab8a2660bc1095a190f?sv=2019-12-12&se=2021-06-08T04%3A33%3A16Z&sr=b&sp=r&sig=yUXm%2Bfbe820iuCEy%2FVyDkfHlw9c8e4vNYY%2BwmyGJo1s%3D,398,437,42,24,0.44519016,0.6079644,0.046979867,0.033333335
13,,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-8c58f2e9bf4c4f76aa887b876052ada6?sv=2019-12-12&se=2021-06-08T04%3A33%3A16Z&sr=b&sp=r&sig=TEW1eGer%2F5f3a935jCUUZqfppJZyGVhc8Y6XOszpdMA%3D,520,345,26,47,0.58277404,0.48018664,0.030201342,0.06527778
14,,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-b81cc750e0134e908fd9ce38827418f4?sv=2019-12-12&se=2021-06-08T04%3A33%3A16Z&sr=b&sp=r&sig=gqUlsFOGrSKWFXYg4lb%2BiJaHgzFDuc9tPlgavokghA8%3D,529,356,30,42,0.5910615,0.4954644,0.033519555,0.059722222
15,,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-c22c225f41ea4fb5aa9629a279501cdc?sv=2019-12-12&se=2021-06-08T04%3A33%3A16Z&sr=b&sp=r&sig=n4UJtuQ1uqh8O%2B7OTCcfVJoJjid2Lk%2FBykMH%2FKhijiA%3D,489,352,38,50,0.547486,0.48990884,0.043575417,0.06944445
