,Unnamed: 0,img_path,tagName,originalImage,left,top,width,height,Rleft,Rtop,Rwidth,Rheight,fileName
0,0,/media/tohn/SSD/mammo_custom/train/Internal/mammo_0.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-5a46ebf910c347a894ef3ee7403ad65b?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=zafoaQ34uwOLQOqTVoCRhF3H4uaWiHSKUplCzih659E%3D,144,346,31,26,0.20365168,0.4869865,0.04494382,0.037921347,mammo_0.jpg
1,1,/media/tohn/SSD/mammo_custom/train/Internal/mammo_1.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-26a538b7c1c14a1d959b186ca1ff0709?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=g73AlGdnNdAS9QCJbe9WdlHjAPuIWwIJ4qa1h5%2Fvzbg%3D,150,279,25,25,0.21207865,0.39288536,0.03511236,0.036516852999999995,mammo_1.jpg
2,2,/media/tohn/SSD/mammo_custom/train/Internal/mammo_2.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-744877a3653a4b86bc56df239e8d79a2?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=TqyGJ6PJgYCyl7BTMGK%2F8pgEkjlesjYlz0oBXipgL44%3D,100,444,34,31,0.14185393,0.62462693,0.049157303,0.043539327,mammo_2.jpg
3,3,/media/tohn/SSD/mammo_custom/train/Internal/mammo_3.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-5e3cca1d976644e895a6dfb05a85e24b?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=nSSjNhpZYFKW9OyjXGiSQrGfuVVyr3Pnvu3921zyd2w%3D,75,297,25,28,0.106591865,0.41757977,0.036465637,0.04067321,mammo_3.jpg
4,4,/media/tohn/SSD/mammo_custom/train/Internal/mammo_4.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-9f89257857ea4e399c989336367a110f?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=c91hvuB94tLiSOvA8bXWEWFD0JBSPMmr63S%2BNwbvhv8%3D,226,295,31,34,0.31741574,0.41535726,0.043539327,0.049157303,mammo_4.jpg
5,5,/media/tohn/SSD/mammo_custom/train/Internal/mammo_5.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-7de0845385c84f97b9af71bb9da2acaa?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=rm31CeSLPYr%2FK%2B5%2Bayq3KCP0nDgOxnHG5vsw2z8yJTc%3D,40,369,34,25,0.056179777,0.51928985,0.04775281,0.03511236,mammo_5.jpg
6,6,/media/tohn/SSD/mammo_custom/train/Internal/mammo_6.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-e9451d9207d04bdb9e1abd1f876fb913?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=Al%2FWiHk%2BZPbIhNgAUzA9x%2B0YqImWdDXb8m35Ssuo8Ig%3D,45,395,34,33,0.06320225,0.5550271999999999,0.04775281,0.04628331,mammo_6.jpg
7,7,/media/tohn/SSD/mammo_custom/train/Internal/mammo_7.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-e9451d9207d04bdb9e1abd1f876fb913?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=Al%2FWiHk%2BZPbIhNgAUzA9x%2B0YqImWdDXb8m35Ssuo8Ig%3D,0,394,33,35,0.0,0.55362463,0.046348315,0.04908836,mammo_7.jpg
8,8,/media/tohn/SSD/mammo_custom/train/Internal/mammo_8.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-e9451d9207d04bdb9e1abd1f876fb913?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=Al%2FWiHk%2BZPbIhNgAUzA9x%2B0YqImWdDXb8m35Ssuo8Ig%3D,21,355,42,40,0.030898876000000002,0.4989262,0.058988765,0.056100983,mammo_8.jpg
9,9,/media/tohn/SSD/mammo_custom/train/Internal/mammo_9.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-800794ccc1d94ece8d1a63ad1543157c?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=W23PRTfvDMfU015WUXyDSNkhJC1n%2FxF2ANzPH%2F4ysJM%3D,73,380,45,43,0.10252809,0.5347393,0.06460674,0.06039326,mammo_9.jpg
10,10,/media/tohn/SSD/mammo_custom/train/Internal/mammo_10.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-800794ccc1d94ece8d1a63ad1543157c?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=W23PRTfvDMfU015WUXyDSNkhJC1n%2FxF2ANzPH%2F4ysJM%3D,103,336,35,28,0.14606741,0.47294155,0.050561797,0.039325844,mammo_10.jpg
11,11,/media/tohn/SSD/mammo_custom/train/Internal/mammo_11.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-800794ccc1d94ece8d1a63ad1543157c?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=W23PRTfvDMfU015WUXyDSNkhJC1n%2FxF2ANzPH%2F4ysJM%3D,37,335,52,43,0.053370785,0.47153705,0.0744382,0.06039326,mammo_11.jpg
