,Unnamed: 0,img_path,tagName,originalImage,left,top,width,height,Rleft,Rtop,Rwidth,Rheight
0,0,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-5a46ebf910c347a894ef3ee7403ad65b?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=w8lZ5NBnzFjT90xWJFAEoOLs0EjREfAgNsyHRkB%2BlhM%3D,144,346,31,26,0.20365168,0.4869865,0.04494382,0.037921347
1,1,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-26a538b7c1c14a1d959b186ca1ff0709?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=ORmEutveEnni95xVLObxe4y3N9HLLFuJCtCg0fo7G58%3D,150,279,25,25,0.21207865,0.39288536,0.03511236,0.036516852999999995
2,2,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-744877a3653a4b86bc56df239e8d79a2?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=P%2FUX2D9GBHMcvvVEtUsGPBxlkKnyvjdthec2zsg0Uas%3D,100,444,34,31,0.14185393,0.62462693,0.049157303,0.043539327
3,3,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-5e3cca1d976644e895a6dfb05a85e24b?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=moN969%2BErESKCY8suF%2BbFxJSsrJckGlV2Mfrfp5o4x0%3D,75,297,25,28,0.106591865,0.41757977,0.036465637,0.04067321
4,4,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-9f89257857ea4e399c989336367a110f?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=JS7bc6d6ySfKbwYVWyEbjjKn3JLv2oZ5Bawxog%2FXQ9g%3D,226,295,31,34,0.31741574,0.41535726,0.043539327,0.049157303
5,5,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-7de0845385c84f97b9af71bb9da2acaa?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=bNNxhSwd01D0nbCQnzQgx7hMF4LYcNLMUj%2FJOiJ3Kz4%3D,40,369,34,25,0.056179777,0.51928985,0.04775281,0.03511236
6,6,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-e9451d9207d04bdb9e1abd1f876fb913?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=wHHGJdjKKdWUMeVKEr8KKAViNwo4F9QxDNFyrYgB%2BxY%3D,45,395,34,33,0.06320225,0.5550271999999999,0.04775281,0.04628331
7,7,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-e9451d9207d04bdb9e1abd1f876fb913?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=wHHGJdjKKdWUMeVKEr8KKAViNwo4F9QxDNFyrYgB%2BxY%3D,0,394,33,35,0.0,0.55362463,0.046348315,0.04908836
8,8,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-e9451d9207d04bdb9e1abd1f876fb913?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=wHHGJdjKKdWUMeVKEr8KKAViNwo4F9QxDNFyrYgB%2BxY%3D,21,355,42,40,0.030898876000000002,0.4989262,0.058988765,0.056100983
9,9,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-800794ccc1d94ece8d1a63ad1543157c?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=%2FVYXIS7grFXALe7sCacQP2jW2A6ewipXk0H5T2Q9Lb0%3D,73,380,45,43,0.10252809,0.5347393,0.06460674,0.06039326
10,10,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-800794ccc1d94ece8d1a63ad1543157c?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=%2FVYXIS7grFXALe7sCacQP2jW2A6ewipXk0H5T2Q9Lb0%3D,103,336,35,28,0.14606741,0.47294155,0.050561797,0.039325844
11,11,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-800794ccc1d94ece8d1a63ad1543157c?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=%2FVYXIS7grFXALe7sCacQP2jW2A6ewipXk0H5T2Q9Lb0%3D,37,335,52,43,0.053370785,0.47153705,0.0744382,0.06039326
12,12,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-dd80176e57fd4dcc9cac165ff4be2cff?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=5sn8JVG4Rn348mEqFZHe49Z1ga2nVfs1bYpXQA5p%2FCc%3D,194,334,30,29,0.2738764,0.47013256,0.042134833,0.04073034
13,13,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-d0072ff645464f2095d1c11c0f097c72?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=1%2FXFLWqLG32rHHPHrf0i%2BuLcCgFlIv7piDHr%2BrLbzLg%3D,581,328,22,31,0.8174157,0.46170559999999994,0.03230337,0.04494382
14,14,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-d0072ff645464f2095d1c11c0f097c72?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=1%2FXFLWqLG32rHHPHrf0i%2BuLcCgFlIv7piDHr%2BrLbzLg%3D,567,291,25,39,0.79634833,0.40973930000000003,0.036516852999999995,0.054775283
15,15,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-be98a27a50a6433b959fd329a4309284?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=1oJ%2FNbHq4ix6U9uRvm8ypmbiMk2r9F3vBmJfFaXqomA%3D,502,292,26,30,0.7050562,0.41114378,0.037921347,0.042134833
16,16,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-be98a27a50a6433b959fd329a4309284?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=1oJ%2FNbHq4ix6U9uRvm8ypmbiMk2r9F3vBmJfFaXqomA%3D,545,349,28,26,0.7668539000000001,0.49119997,0.039325844,0.037921347
17,17,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-1833e930a77c4372ad24e4e3a86aac9b?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=hqQrX54f4R9IGZTYmW7nXhOVgowLC3G59gfF%2BT5ATt4%3D,437,563,66,44,0.61376405,0.79176176,0.09410112,0.061797753
18,18,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-1833e930a77c4372ad24e4e3a86aac9b?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=hqQrX54f4R9IGZTYmW7nXhOVgowLC3G59gfF%2BT5ATt4%3D,367,251,58,43,0.51544946,0.35355952,0.08146068,0.06039326
19,19,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-0ef1554a9b2f49f5b98df2a5339bc986?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=Fb2yatjQhGDBtiYXQSUxPi8Q6lT14qMvvfKa4fNeGqo%3D,615,416,29,26,0.86376405,0.5853010999999999,0.04073034,0.037921347
20,20,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-25a2812f1f404ce39e7f6a00a42caedd?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=NbGAkWsiH%2BPP1pLvHHHGPVcT2Tog7DGcD%2B957W8mOb4%3D,588,409,22,25,0.82468444,0.5754696,0.03085554,0.036516852999999995
21,21,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-cec3d0239d65413fa9f4d43ef0f1110c?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=vXYP597FpLw8fr4QNS6SPdK0VJuBNVWqHuVLlWpzp54%3D,31,174,34,31,0.043539327,0.24541345,0.04775281,0.04494382
22,22,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-26d08c11c53b40da9a04cbb301561554?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=49N7N5cXOUcg1sDRkpItwrLK0O4S%2BzaO1MvTLqN7YwI%3D,52,369,59,46,0.0744382,0.51928985,0.08286517,0.066011235
23,23,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-69d47433840b43569888eeeb56544235?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=5Fs8mxLv1KOw9ClRulVcOlU9l5b1CgCBJY1zzYgPQu4%3D,192,377,29,25,0.27106740000000007,0.5305258,0.04073034,0.03511236
24,24,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-69d47433840b43569888eeeb56544235?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=5Fs8mxLv1KOw9ClRulVcOlU9l5b1CgCBJY1zzYgPQu4%3D,180,397,28,25,0.252809,0.5586156999999999,0.039325844,0.036516852999999995
25,25,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-19164da76e8947adb57e411ee8fc09f7?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=a0fiL34RYCymCCMk7Y9KcVrCAdJGc%2BH%2B2e1eJrxcs4s%3D,139,356,20,20,0.19662921,0.5010314,0.029494382000000003,0.029494382000000003
26,26,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-19164da76e8947adb57e411ee8fc09f7?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=a0fiL34RYCymCCMk7Y9KcVrCAdJGc%2BH%2B2e1eJrxcs4s%3D,148,334,20,26,0.20926966,0.47013256,0.028089887999999997,0.037921347
27,27,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-48aa3d0975414787ba7400ac512391c7?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=GXFrsSWHSXRJOM4Uqx7hdCeoSby0cA6XIcNBn1aq%2BBM%3D,56,302,42,36,0.07865169,0.42518872,0.058988765,0.05196629
28,28,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-a65aa5bc09af45b0bf9bcb804bbee479?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=LgUsorVvwkx7nabpB0k9zwKSw15wDjGLxjiF%2F0UJiHU%3D,85,372,29,26,0.119382024,0.52350336,0.04073034,0.037921347
29,29,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-a65aa5bc09af45b0bf9bcb804bbee479?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=LgUsorVvwkx7nabpB0k9zwKSw15wDjGLxjiF%2F0UJiHU%3D,25,431,25,25,0.03511236,0.6063685000000001,0.036516852999999995,0.036516852999999995
30,30,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-a65aa5bc09af45b0bf9bcb804bbee479?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=LgUsorVvwkx7nabpB0k9zwKSw15wDjGLxjiF%2F0UJiHU%3D,53,406,29,56,0.07584269,0.57125616,0.04073034,0.07865169
31,31,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-d2b7b0f579d84e7bbce33d9ec952225f?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=nhtXiyOTz%2B8NS8ltPwcpapNIEloNiKkmE3JuUeE%2FIpQ%3D,156,341,25,27,0.21910113,0.47929084,0.036516852999999995,0.037868163999999996
32,32,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-d2b7b0f579d84e7bbce33d9ec952225f?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=nhtXiyOTz%2B8NS8ltPwcpapNIEloNiKkmE3JuUeE%2FIpQ%3D,98,385,22,20,0.13904494,0.5410019,0.03230337,0.028050492000000003
