,img_path,tagName,originalImage,left,top,width,height,Rleft,Rtop,Rwidth,Rheight
0,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-5a46ebf910c347a894ef3ee7403ad65b?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=w8lZ5NBnzFjT90xWJFAEoOLs0EjREfAgNsyHRkB%2BlhM%3D,144,346,31,26,0.20365168,0.4869865,0.04494382,0.037921347
1,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-26a538b7c1c14a1d959b186ca1ff0709?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=ORmEutveEnni95xVLObxe4y3N9HLLFuJCtCg0fo7G58%3D,150,279,25,25,0.21207865,0.39288536,0.03511236,0.036516853
2,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-744877a3653a4b86bc56df239e8d79a2?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=P%2FUX2D9GBHMcvvVEtUsGPBxlkKnyvjdthec2zsg0Uas%3D,100,444,34,31,0.14185393,0.62462693,0.049157303,0.043539327
3,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-5e3cca1d976644e895a6dfb05a85e24b?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=moN969%2BErESKCY8suF%2BbFxJSsrJckGlV2Mfrfp5o4x0%3D,75,297,25,28,0.106591865,0.41757977,0.036465637,0.04067321
4,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-9f89257857ea4e399c989336367a110f?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=JS7bc6d6ySfKbwYVWyEbjjKn3JLv2oZ5Bawxog%2FXQ9g%3D,226,295,31,34,0.31741574,0.41535726,0.043539327,0.049157303
5,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-7de0845385c84f97b9af71bb9da2acaa?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=bNNxhSwd01D0nbCQnzQgx7hMF4LYcNLMUj%2FJOiJ3Kz4%3D,40,369,34,25,0.056179777,0.51928985,0.04775281,0.03511236
6,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-e9451d9207d04bdb9e1abd1f876fb913?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=wHHGJdjKKdWUMeVKEr8KKAViNwo4F9QxDNFyrYgB%2BxY%3D,45,395,34,33,0.06320225,0.5550272,0.04775281,0.04628331
7,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-e9451d9207d04bdb9e1abd1f876fb913?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=wHHGJdjKKdWUMeVKEr8KKAViNwo4F9QxDNFyrYgB%2BxY%3D,0,394,33,35,0.0,0.55362463,0.046348315,0.04908836
8,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-e9451d9207d04bdb9e1abd1f876fb913?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=wHHGJdjKKdWUMeVKEr8KKAViNwo4F9QxDNFyrYgB%2BxY%3D,21,355,42,40,0.030898876,0.4989262,0.058988765,0.056100983
9,None,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-800794ccc1d94ece8d1a63ad1543157c?sv=2019-12-12&se=2021-05-01T07%3A22%3A26Z&sr=b&sp=r&sig=%2FVYXIS7grFXALe7sCacQP2jW2A6ewipXk0H5T2Q9Lb0%3D,73,380,45,43,0.10252809,0.5347393,0.06460674,0.06039326
